ticker,text,label
NVDA,NVDA upgraded by major broker citing improving outlook,positive
TSLA,TSLA files routine SEC document; no material changes,neutral
COST,COST files routine SEC document; no material changes,neutral
SHOP,SHOP hosts analyst day; long-term targets unchanged,neutral
INTC,INTC raises dividend and launches additional buyback,positive
AMZN,AMZN holds annual meeting; no guidance update,neutral
ORCL,ORCL secures large multi-year contract with enterprise customer,positive
BA,BA announces record revenue with margin expansion,positive
SAP,SAP management reiterates full-year outlook; shares little changed,neutral
CRM,CRM holds annual meeting; no guidance update,neutral
ORCL,ORCL hosts analyst day; long-term targets unchanged,neutral
COIN,COIN beats quarterly earnings and raises guidance,positive
SAP,SAP announces minor organizational changes,neutral
CRM,CRM management reiterates full-year outlook; shares little changed,neutral
SQ,SQ legal dispute escalates; uncertainty remains,negative
MRNA,MRNA management reiterates full-year outlook; shares little changed,neutral
NKE,NKE files routine SEC document; no material changes,neutral
WMT,WMT downgraded by broker on margin pressures,negative
MSFT,MSFT upgraded by major broker citing improving outlook,positive
IBM,IBM reports results in line with expectations,neutral
ADI,ADI beats quarterly earnings and raises guidance,positive
NFLX,NFLX books strong order backlog and improving pipeline,positive
META,META shares rise after strong demand in core segment,positive
TSLA,TSLA launches new product; impact on revenue uncertain,neutral
COST,COST faces regulatory probe; shares slip,negative
AMD,AMD announces minor organizational changes,neutral
WMT,WMT announces layoffs and cost cuts amid slowdown,negative
NKE,NKE supply issues weigh on deliveries; outlook cut,negative
PYPL,PYPL launches new product; impact on revenue uncertain,neutral
AMZN,AMZN beats quarterly earnings and raises guidance,positive
INTC,INTC reports results in line with expectations,neutral
GOOGL,GOOGL misses earnings estimates; trims guidance,negative
WMT,WMT raises dividend and launches additional buyback,positive
PYPL,PYPL product recall expands; near-term impact expected,negative
SAP,SAP launches new product; impact on revenue uncertain,neutral
NFLX,NFLX beats quarterly earnings and raises guidance,positive
COIN,COIN misses earnings estimates; trims guidance,negative
CRM,CRM upgraded by major broker citing improving outlook,positive
AMD,AMD data breach reported; investigation underway,negative
ABT,ABT announces layoffs and cost cuts amid slowdown,negative
SAP,SAP files routine SEC document; no material changes,neutral
TSLA,TSLA holds annual meeting; no guidance update,neutral
SHOP,SHOP faces regulatory probe; shares slip,negative
PYPL,PYPL hosts analyst day; long-term targets unchanged,neutral
